STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-CLDD-BASE45,Completeness Flag,DLY-CLDD-BASE50,Completeness Flag,DLY-CLDD-BASE55,Completeness Flag,DLY-CLDD-BASE57,Completeness Flag,DLY-CLDD-BASE60,Completeness Flag,DLY-CLDD-NORMAL,Completeness Flag,DLY-CLDD-BASE70,Completeness Flag,DLY-CLDD-BASE72,Completeness Flag,DLY-HTDD-BASE40,Completeness Flag,DLY-HTDD-BASE45,Completeness Flag,DLY-HTDD-BASE50,Completeness Flag,DLY-HTDD-BASE55,Completeness Flag,DLY-HTDD-BASE57,Completeness Flag,DLY-HTDD-BASE60,Completeness Flag,DLY-HTDD-NORMAL,Completeness Flag
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100101,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,7,Q,10,Q,13,Q,16,Q,17,Q,18,Q,21,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100102,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,7,Q,10,Q,13,Q,16,Q,17,Q,18,Q,21,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100103,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,7,Q,10,Q,13,Q,16,Q,17,Q,18,Q,21,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100104,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,10,Q,13,Q,16,Q,17,Q,18,Q,21,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100105,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,18,Q,21,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100106,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100107,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100108,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100109,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100110,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100111,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100112,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100113,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100114,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100115,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100116,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100117,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100118,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100119,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.86611,-87.61528,20100120,-4321,Q,-4321,Q,0,Q,0,Q,0,Q,0,Q,0,Q,0,Q,8,Q,11,Q,13,Q,16,Q,17,Q,19,Q,22,Q
